epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.342,1.84657,2.122,1.63736,0.26304,0.25995,0.19058,0.09153,2.27246,2.53616,1.92399,0.000665567,0.000665567,0.000665567
2,488.894,1.88771,1.86476,1.67187,0.37047,0.26263,0.25514,0.12253,2.16026,2.08821,1.73849,0.00126629,0.00126629,0.00126629
3,730.179,1.82889,1.80164,1.6173,0.41714,0.28414,0.27483,0.13321,2.07856,2.02481,1.67964,0.00180101,0.00180101,0.00180101
4,968.498,1.75386,1.64545,1.56133,0.40813,0.33441,0.31328,0.16093,1.90649,1.86787,1.55507,0.001703,0.001703,0.001703
5,1206.04,1.66836,1.54419,1.50996,0.49568,0.35995,0.3587,0.18604,1.94663,1.68719,1.565,0.001604,0.001604,0.001604
6,1444.59,1.6477,1.47674,1.48852,0.50064,0.3914,0.37616,0.20799,1.81062,1.58974,1.49045,0.001505,0.001505,0.001505
7,1684.33,1.60647,1.42555,1.45482,0.49404,0.38199,0.37923,0.20065,1.87706,1.57963,1.52901,0.001406,0.001406,0.001406
8,1923.22,1.55715,1.34925,1.41822,0.52311,0.38817,0.39699,0.21816,1.79741,1.55425,1.46453,0.001307,0.001307,0.001307
9,2159.61,1.54014,1.32073,1.41636,0.48953,0.40484,0.39512,0.21809,1.78273,1.46775,1.45648,0.001208,0.001208,0.001208
10,2396.65,1.51887,1.29041,1.38899,0.54833,0.40296,0.42233,0.24503,1.70624,1.43258,1.43693,0.001109,0.001109,0.001109
11,2628.64,1.45306,1.19778,1.36407,0.5156,0.39801,0.41829,0.22957,1.7761,1.43601,1.49227,0.00101,0.00101,0.00101
12,2857.4,1.41848,1.14152,1.33812,0.5066,0.37366,0.41825,0.23947,1.73905,1.42728,1.43263,0.000911,0.000911,0.000911
13,3084.96,1.39543,1.10894,1.30873,0.53486,0.46398,0.44586,0.24498,1.79343,1.3781,1.45262,0.000812,0.000812,0.000812
14,3312.88,1.36301,1.0749,1.29824,0.57748,0.45538,0.46176,0.26309,1.72327,1.33483,1.44977,0.000713,0.000713,0.000713
15,3538.79,1.34461,1.04426,1.28356,0.57139,0.4286,0.45775,0.26814,1.69186,1.34822,1.4201,0.000614,0.000614,0.000614
16,3765.57,1.31784,1.01598,1.26675,0.58055,0.44462,0.46611,0.26974,1.72411,1.30459,1.43588,0.000515,0.000515,0.000515
17,3992.04,1.30174,0.9796,1.25426,0.56518,0.46297,0.45143,0.25758,1.70112,1.27488,1.43057,0.000416,0.000416,0.000416
18,4218.69,1.27768,0.96118,1.23655,0.56939,0.47452,0.47731,0.28113,1.66364,1.25827,1.39833,0.000317,0.000317,0.000317
19,4441.13,1.25248,0.93476,1.21829,0.56224,0.48656,0.47984,0.28579,1.64725,1.24311,1.40286,0.000218,0.000218,0.000218
20,4667.69,1.22959,0.90622,1.20337,0.57798,0.4836,0.48645,0.28987,1.64304,1.22796,1.38859,0.000119,0.000119,0.000119
